name,surface,observed_at_path,proposed_registry_name,priority,notes
shipment-timeline,library/saas/tool/commerce,NEW,shipment-timeline,T4,Vertical timeline: pickup → cross-dock → line haul → last mile. ETA bubbles.
route-map,library/saas/tool,NEW,route-map,T4,Bounded map embed. Lane overlays + markers.
dock-bay,library/saas/tool,NEW,dock-bay,T4,Grid of dock cards. Open / occupied / reserved.
cross-dock-grid,library/saas/tool,NEW,cross-dock-grid,T4,Top-down floor with pallet cells. Color-coded by lane.
carrier-badge,library/saas/landing/tool,NEW,carrier-badge,T4,Carrier identity chip. Logo + rating + on-time %.
pallet-tile,library/saas/tool/commerce,NEW,pallet-tile,T4,Pallet card. Weight + dims + hazmat + class.
otr-truck-iso,landing/library,NEW,otr-truck-iso,T4,Reusable isometric truck illustration. Consumes Phase 4 SVG.
quote-builder,saas/tool/landing,NEW,quote-builder,T4,Lane input + weight + accessorials + rate output. Composite.
accordion,library/saas/tool,02-components/accordion,accordion,EXT,Existing v0.12.6 contract. Registered through legacy _registry sidecar.
action-sheet,library/mobile,02-components/action-sheet,action-sheet,EXT,
ai-badge,library/saas/landing,02-components/ai-badge,ai-badge,EXT,
ai-prompt-input,library/saas/landing,02-components/ai-prompt-input,ai-prompt-input,EXT,Deferred to Phase 5 expansion (AI Elements naming alignment).
ai-suggestion,library/saas/landing,02-components/ai-suggestion,ai-suggestion,EXT,Deferred to Phase 5 expansion.
alert,library/saas/tool,02-components/alert,alert,EXT,
banner,library/saas/landing,02-components/banner,banner,EXT,
bottom-nav,library/mobile,02-components/bottom-nav,bottom-nav,EXT,
button-group,library/saas/tool,02-components/button-group,button-group,EXT,
carousel,library/landing/commerce,02-components/carousel,carousel,EXT,
cart-drawer,library/commerce,02-components/cart-drawer,cart-drawer,EXT,
chart,library/saas/tool,02-components/chart,chart,EXT,Recharts wrapper. Phase 5 alignment with AI surfaces.
chat-bubble,library/saas/landing,02-components/chat-bubble,chat-bubble,EXT,Deferred to Phase 5 (Message alignment).
citation-card,library/saas/landing,02-components/citation-card,citation-card,EXT,Anthropic Citations JSON shape. Phase 5 expansion.
coach-mark,library/mobile,02-components/coach-mark,coach-mark,EXT,
code-block,library/saas/tool,02-components/code-block,code-block,EXT,Satoshi tnum + zero.
color-picker,library/saas,02-components/color-picker,color-picker,EXT,
command-palette-button,library/saas/tool,02-components/command-palette-button,command-palette-button,EXT,Trigger button — companion to command-palette.
comment-thread,library/saas,02-components/comment-thread,comment-thread,EXT,
copy-button,library/saas/tool,02-components/copy-button,copy-button,EXT,
data-grid,library/saas/tool,02-components/data-grid,data-grid,EXT,v0.12.6 grid — kept alongside new data-table.
dialog,library/saas/tool/landing,02-components/dialog,dialog,EXT,Underlying primitive for modal.
divider,library/saas/tool,02-components/divider,divider,EXT,
empty-state,library/saas/tool/commerce,02-components/empty-state,empty-state,EXT,
fab,library/mobile,02-components/fab,fab,EXT,
field,library/saas/tool,02-components/field,field,EXT,v0.6 form-shell.
file-dropzone,library/saas/tool,02-components/file-dropzone,file-dropzone,EXT,
form,library/saas/tool,02-components/form,form,EXT,react-hook-form binding per ADR 0013.
icon-button,library/saas/tool,02-components/icon-button,icon-button,EXT,
inventory-status,library/commerce,02-components/inventory-status,inventory-status,EXT,
kanban,library/saas,02-components/kanban,kanban,EXT,
kbd,library/saas/tool,02-components/kbd,kbd,EXT,Keyboard shortcut chip.
kpi-card,library/saas,02-components/kpi-card,kpi-card,EXT,Stat + label + delta composite.
link,library/saas/landing,02-components/link,link,EXT,
list,library/saas/mobile,02-components/list,list,EXT,
logo-cloud,library/landing,02-components/logo-cloud,logo-cloud,EXT,
mode-scope,every surface,02-components/mode-scope,mode-scope,T0,v0.13 Phase 1 — already shipped.
navbar,library/saas/landing/desktop,02-components/navbar,navbar,EXT,Kept alongside new top-bar.
notification-center,library/saas,02-components/notification-center,notification-center,EXT,
number-input,library/saas/tool/commerce,02-components/number-input,number-input,EXT,
otp-input,library/saas/commerce,02-components/otp-input,otp-input,EXT,
panel,library/saas/tool,02-components/panel,panel,EXT,
password-input,library/saas/commerce,02-components/password-input,password-input,EXT,
permission-prompt,library/mobile,02-components/permission-prompt,permission-prompt,EXT,
phone-frame,library/mobile,02-components/phone-frame,phone-frame,EXT,Mobile device chrome.
presence-indicator,library/saas,02-components/presence-indicator,presence-indicator,EXT,
pricing-card,library/landing,02-components/pricing-card,pricing-card,EXT,v0.12.5 peak-end lift.
pull-to-refresh,library/mobile,02-components/pull-to-refresh,pull-to-refresh,EXT,
radio-group,library/saas/tool/commerce,02-components/radio-group,radio-group,EXT,Underlying primitive for radio.
range-slider,library/saas/tool,02-components/range-slider,range-slider,EXT,
reaction-bar,library/saas,02-components/reaction-bar,reaction-bar,EXT,
search-field,library/saas/tool/commerce,02-components/search-field,search-field,EXT,
segmented,library/saas/tool/commerce,02-components/segmented,segmented,EXT,
sparkline,library/saas/landing,02-components/sparkline,sparkline,EXT,Companion to Stat. v0.11.17 fluid scaling.
split-button,library/saas/tool,02-components/split-button,split-button,EXT,
snackbar,library/mobile,02-components/snackbar,snackbar,EXT,Mobile-anchored toast.
status-bar,library/mobile,02-components/status-bar,status-bar,EXT,
stepper,library/saas/tool/commerce,02-components/stepper,stepper,EXT,
swipe-action,library/mobile,02-components/swipe-action,swipe-action,EXT,
table,library/saas/tool/commerce,02-components/table,table,EXT,Static-render data table.
tags-input,library/saas/tool,02-components/tags-input,tags-input,EXT,Adjacent to tag.
testimonial-card,library/landing,02-components/testimonial-card,testimonial-card,EXT,
time-picker,library/saas/tool,02-components/time-picker,time-picker,EXT,
timeline,library/saas/tool,02-components/timeline,timeline,EXT,General-purpose timeline (vs shipment-timeline freight-domain).
toggle,library/saas/tool,02-components/toggle,toggle,EXT,
toolbar,library/saas/tool,02-components/toolbar,toolbar,EXT,
tree-view,library/saas/tool,02-components/tree-view,tree-view,EXT,
trend,library/saas/tool,02-components/trend,trend,EXT,Up/down arrow + delta chip.
validation-message,library/saas/tool,02-components/validation-message,validation-message,EXT,Field error/warning/info row.
lumen-base,registry-only,registry/lumen-base,lumen-base,REG,registry:base — single-payload install of the whole system.
font-satoshi,registry-only,registry/font-satoshi,font-satoshi,REG,registry:font — Satoshi Variable + Italic woff2.
tokens,registry-only,registry/tokens,tokens,REG,registry:style — dist/css/lumen.css token graph.
